period,startMonth,startDate,endMonth,endDate
1Q,01,01,03,31
Q1,01,01,03,31
1 qtr,01,01,03,31
1st qtr,01,01,03,31
1 st qtr,01,01,03,31
1st Q,01,01,03,31 	
1H,01,01,06,30
1T,01,01,06,30
1st sem,01,01,06,30
1 st sem,01,01,06,30
2Q,04,01,06,30
Q2,04,01,06,30
2st qtr,04,01,03,31
2 st qtr,04,04,03,31
2H,07,01,12,31
2nd sem,07,01,12,31
2 nd sem,07,01,12,31
2T,07,01,12,31
3Q,07,01,09,30
Q3,07,01,09,30
3 rd Qtr,07,01,09,30
4Q,10,01,12,31
Q4,10,01,12,31
